responder_id,image,responses,total_responses,percentage_response,outer_radius
1,img-1,10,118,0.0847457627118644,0.5
1,img-2,36,118,0.3050847457627119,0.5
1,img-3,56,118,0.4745762711864407,0.5
1,img-4,11,118,0.09322033898305085,0.5
1,img-5,18,118,0.15254237288135594,0.5
1,img-6,12,118,0.1016949152542373,0.5
2,img-1,25,118,0.211864406779661,0.5
2,img-2,31,118,0.2627118644067797,0.5
2,img-3,31,118,0.2627118644067797,0.5
2,img-4,26,118,0.22033898305084745,0.5
2,img-5,15,118,0.1271186440677966,0.5
2,img-6,29,118,0.2457627118644068,0.5
3,img-1,33,118,0.2796610169491525,0.5
3,img-2,14,118,0.11864406779661017,0.5
3,img-3,11,118,0.09322033898305085,0.5
3,img-4,47,118,0.3983050847457627,0.5
3,img-5,29,118,0.2457627118644068,0.5
3,img-6,29,118,0.2457627118644068,0.5
4,img-1,1,118,0.00847457627118644,0.5
4,img-2,1,118,0.00847457627118644,0.5
4,img-3,6,118,0.05084745762711865,0.5
4,img-4,3,118,0.025423728813559324,0.5
4,img-5,4,118,0.03389830508474576,0.5
4,img-6,32,118,0.2711864406779661,0.5
5,img-1,49,118,0.4152542372881356,0.5
5,img-2,36,118,0.3050847457627119,0.5
5,img-3,14,118,0.11864406779661017,0.5
5,img-4,31,118,0.2627118644067797,0.5
5,img-5,52,118,0.4406779661016949,0.5
5,img-6,16,118,0.13559322033898305,0.5
